Rank,District,Name,FTE Students,,,,,,,,
1,17001,Seattle,"51,308",,,,,,,State Summary,"1,036,809"
2,17414,Lake Washington,"29,859",,,,,,,,
3,32081,Spokane,"27,833",,,,,,,,
4,27010,Tacoma,"26,693",,,,,,,,
5,17415,Kent,"24,356",,,,,,,,
6,6114,Evergreen (Clark),"23,251",,,,,,,,
7,17417,Northshore,"22,168",,,,,,,,
8,27003,Puyallup,"21,330",,,,,,,,
9,6037,Vancouver,"21,008",,,,,,,,
10,17210,Federal Way,"20,242",,,,,,,,
11,31015,Edmonds,"19,714",,,,,,,,
12,27403,Bethel,"19,371",,,,,,,,
13,31002,Everett,"19,280",,,,,,,,
14,17405,Bellevue,"19,167",,,,,,,,
15,17411,Issaquah,"19,034",,,,,,,,
16,3017,Kennewick,"17,821",,,,,,,,
17,17401,Highline,"17,775",,,,,,,,
18,11001,Pasco,"17,663",,,,,,,,
19,17408,Auburn,"16,076",,,,,,,,
20,39007,Yakima,"15,533",,,,,,,,
21,31006,Mukilteo,"14,850",,,,,,,,
22,17403,Renton,"14,504",,,,,,,,
23,34003,North Thurston,"14,075",,,,,,,,
24,32356,Central Valley,"13,433",,,,,,,,
25,3400,Richland,"12,884",,,,,,,,
26,27400,Clover Park,"11,705",,,,,,,,
27,6119,Battle Ground,"11,353",,,,,,,,
28,37501,Bellingham,"10,877",,,,,,,,
29,18401,Central Kitsap,"10,570",,,,,,,,
30,32354,Mead,"9,764",,,,,,,,
31,31025,Marysville,"9,641",,,,,,,,
32,18402,South Kitsap,"9,613",,,,,,,,
33,34111,Olympia,"9,260",,,,,,,,
34,27320,Sumner,"9,285",,,,,,,,
35,17412,Shoreline,"9,058",,,,,,,,
36,31201,Snohomish,"8,938",,,,,,,,
37,31004,Lake Stevens,"8,635",,,,,,,,
38,17409,Tahoma,"8,205",,,,,,,,
39,27401,Peninsula,"7,970",,,,,,,,
40,24019,Omak,"7,624",,,,,,,,
41,13161,Moses Lake,"7,832",,,,,,,,
42,27402,Franklin Pierce,"7,262",,,,,,,,
43,4246,Wenatchee,"7,034",,,,,,,,
44,6117,Camas,"6,809",,,,,,,,
45,17410,Snoqualmie Valley,"6,584",,,,,,,,
46,39201,Sunnyside,"6,521",,,,,,,,
47,29320,Mount Vernon,"6,380",,,,,,,,
48,34033,Tumwater,"6,182",,,,,,,,
49,8122,Longview,"5,994",,,,,,,,
50,31103,Monroe,"5,765",,,,,,,,
51,9206,Eastmont,"5,737",,,,,,,,
52,15201,Oak Harbor,"5,423",,,,,,,,
53,36140,Walla Walla,"5,393",,,,,,,,
54,27083,University Place,"5,357",,,,,,,,
55,34002,Yelm,"5,230",,,,,,,,
56,31016,Arlington,"5,154",,,,,,,,
57,18400,North Kitsap,"5,096",,,,,,,,
58,39208,West Valley (Yak),"5,006",,,,,,,,
59,32360,Cheney,"4,828",,,,,,,,
60,8458,Kelso,"4,644",,,,,,,,
61,18100,Bremerton,"4,498",,,,,,,,
62,39202,Toppenish,"4,479",,,,,,,,
63,1147,Othello,"4,444",,,,,,,,
64,31401,Stanwood-Camano,"4,419",,,,,,,,
65,23309,Shelton,"4,210",,,,,,,,
66,37502,Ferndale,"4,149",,,,,,,,
67,29101,Sedro-Woolley,"4,086",,,,,,,,
68,17400,Mercer Island,"4,019",,,,,,,,
69,17216,Enumclaw,"3,897",,,,,,,,
70,27416,White River,"3,795",,,,,,,,
71,27417,Fife,"3,650",,,,,,,,
72,39119,Selah,"3,531",,,,,,,,
73,32361,East Valley (Spo),"3,495",,,,,,,,
74,18303,Bainbridge Island,"3,472",,,,,,,,
75,39200,Grandview,"3,476",,,,,,,,
76,5121,Port Angeles,"3,277",,,,,,,,
77,32363,West Valley (Spo),"3,266",,,,,,,,
78,21401,Centralia,"3,256",,,,,,,,
79,5402,Quillayute Valley,"3,338",,,,,,,,
80,29100,Burlington-Edison,"3,236",,,,,,,,
81,6122,Ridgefield,"3,217",,,,,,,,
82,39207,Wapato,"3,134",,,,,,,,
83,37504,Lynden,"3,148",,,,,,,,
84,39090,East Valley (Yak),"3,097",,,,,,,,
85,14005,Aberdeen,"3,035",,,,,,,,
86,19401,Ellensburg,"3,000",,,,,,,,
87,13144,Quincy,"2,978",,,,,,,,
88,17407,Riverview,"2,928",,,,,,,,
89,27001,Steilacoom Hist.,"2,910",,,,,,,,
90,21302,Chehalis,"2,821",,,,,,,,
91,6112,Washougal,"2,789",,,,,,,,
92,17406,Tukwila,"2,596",,,,,,,,
93,38267,Pullman,"2,512",,,,,,,,
94,13165,Ephrata,"2,492",,,,,,,,
95,27344,Orting,"2,471",,,,,,,,
96,3116,Prosser,"2,450",,,,,,,,
97,5323,Sequim,"2,437",,,,,,,,
98,29103,Anacortes,"2,438",,,,,,,,
99,2250,Clarkston,"2,446",,,,,,,,
100,13073,Wahluke,"2,394",,,,,,,,
101,31306,Lakewood,"2,403",,,,,,,,
102,32414,Deer Park,"2,382",,,,,,,,
103,8404,Woodland,"2,294",,,,,,,,
104,20404,Goldendale,"2,182",,,,,,,,
105,23403,North Mason,"2,132",,,,,,,,
106,23311,Mary M. Knight,"2,065",,,,,,,,
107,34401,Rochester,"2,051",,,,,,,,
108,37503,Blaine,"2,072",,,,,,,,
109,31332,Granite Falls,"2,050",,,,,,,,
110,11051,North Franklin,"1,994",,,,,,,,
111,31311,Sultan,"1,844",,,,,,,,
112,37506,Nooksack Valley,"1,816",,,,,,,,
113,27404,Eatonville,"1,761",,,,,,,,
114,37505,Meridian,"1,746",,,,,,,,
115,6098,Hockinson,"1,735",,,,,,,,
116,32326,Medical Lake,"1,696",,,,,,,,
117,13160,Royal,"1,683",,,,,,,,
118,37507,Mount Baker,"1,640",,,,,,,,
119,14028,Hoquiam,"1,551",,,,,,,,
120,33115,Colville,"1,546",,,,,,,,
121,36250,College Place,"1,532",,,,,,,,
122,4222,Cashmere,"1,528",,,,,,,,
123,6101,La Center,"1,518",,,,,,,,
124,14068,Elma,"1,453",,,,,,,,
125,17402,Vashon Island,"1,421",,,,,,,,
126,39204,Granger,"1,413",,,,,,,,
127,32416,Riverside,"1,364",,,,,,,,
128,27343,Dieringer,"1,347",,,,,,,,
129,3052,Kiona-Benton City,"1,326",,,,,,,,
130,8401,Castle Rock,"1,328",,,,,,,,
131,14066,Montesano,"1,308",,,,,,,,
132,33070,Valley,"1,235",,,,,,,,
133,32325,Nine Mile Falls,"1,263",,,,,,,,
